,title,status,level,author
77,Belajar Framework Laravel Studi Kasus Role Management,publish,intermediate,Ahmad Hakim
78,Menguasai Framework Laravel 9,publish,beginner,Aldi Zainafif
79,Memahami Cara Kerja Tim IT di Perusahaan yang Bekerja dari Rumah,publish,intermediate,Muhammad Singgih Z.A
80,"Membangun Aplikasi Ujian Online (CBT) Dengan Laravel, Inertia.js & Vue.js",publish,beginner,Fika Ridaul Maulayya
81,Membuat Aplikasi Android Manajemen Tugas - Kotlin,publish,beginner,Aulia Rahman
82,Belajar Dasar HTML,publish,beginner,Ahmad Hakim
83,Membuat Realtime Chatroom dengan Websocket Menggunakan Laravel dan Vue,publish,beginner,Ahmad Hakim
84,Jago React Native dengan Membuat Movie App,publish,beginner,Hakim Sembiring Meliala
85,Jago Fullstack JavaScript dengan Membuat Blog,publish,beginner,Hakim Sembiring Meliala
86,Membuat Aplikasi Quiz dengan RecyclerView - Kotlin,publish,intermediate,Aulia Rahman
87,Belajar JavaScript,publish,beginner,Ahmad Hakim
88,1 Jam Bisa Membuat Game dengan Construct 3,publish,beginner,Ahmad Hakim
89,Sistem Otentikasi API Berbasis OAuth dengan Laravel Passport,publish,intermediate,Ahmad Hakim
90,Membuat Aplikasi Music Player di Android - Kotlin,publish,intermediate,Aulia Rahman
91,Membuat Chat bot Pintar di Telegram : Studi kasus Bot Info Covid-19,publish,intermediate,Ahmad Hakim
92,Belajar Membangun RESTful dengan Adonis.js,publish,beginner,Ahmad Hakim
93,Optimasi Kinerja Laravel dengan Redis,publish,beginner,Ahmad Hakim
94,"Membangun Toko Online Dengan Laravel, Vue Js dan Payment Gateway",publish,beginner,Fika Ridaul Maulayya
95,Implementasi Firebase Auth di Android - Kotlin,publish,beginner,Aulia Rahman
96,Membuat Website Profile Perusahaan Tanpa Coding dengan Mobirise,publish,beginner,Yusuf Fazeri
97,Belajar Dasar CSS,publish,beginner,0
98,Membangun Aplikasi Cek Ongkir Menggunakan Laravel,publish,intermediate,Ahmad Hakim
99,Belajar Vue.js 3 dan Firebase Studi Kasus Blog,publish,beginner,Ahmad Hakim
100,Panduan Awal Menjadi Fullstack Web Developer,publish,beginner,Sandhika Galih
101,Studi Kasus Web Geolocation dengan Laravel dan HERE Maps,publish,beginner,Ahmad Hakim
102,Membangun Website Toko Online Berbasis CodeIgniter,publish,beginner,Ahmad Hakim
103,Belajar Cepat Membuat Web App Berbasis React ,publish,beginner,Bagus Budi Cahyono
104,Belajar Pemrograman PHP,publish,beginner,Toni Haryanto
105,Menguasai Framework CodeIgniter 3,publish,beginner,Toni Haryanto
106,Membuat Toko Online dengan Laravel LiveWire dan Payment Gateway,publish,intermediate,Ahmad Hakim
107,Membuat Sistem Informasi Perpustakaan Menggunakan Laravel 6,publish,beginner,Muhammad Amirul Ihsan
108,Membangun Website Modern dengan Vue.js 2,publish,beginner,Ahmad Hakim
109,Membuat Aplikasi Presensi Android Berbasis Lokasi - Kotlin,publish,beginner,Aulia Rahman
110,Menguasai Framework Laravel 8,publish,beginner,Ahmad Hakim
111,Membuat Aplikasi E-learning di Android menggunakan Realtime Firebase - Kotlin,publish,intermediate,Aulia Rahman
112,"Fullstack Tutorial MongoDB, Express, Vue, Node - Shopping Cart",publish,beginner,Ahmad Hakim
113,Membuat REST API dengan Express.js dan MySQL - Studi Kasus Classified Ads,publish,beginner,Ahmad Hakim
114,Pengenalan Machine Learning,publish,beginner,Nur Indah Pratiwi
115,Aplikasi Pemasaran Produk Android OLX Clone - Kotlin,publish,intermediate,Aulia Rahman
116,Dasar-dasar Framework Laravel 6,publish,intermediate,Muhammad Amirul Ihsan
117,Membangun Web Donasi Online dengan Laravel dan Payment Gateway,publish,intermediate,Ahmad Hakim
118,Membuat Website Company Profile dari Nol Sampai Online,publish,beginner,Aden Rahmandi
119,Android Development Starter Pack - Java,publish,beginner,Aulia Rahman
120,Membangun Aplikasi SPA Laravel VueJS dengan Fitur Authentikasi,publish,intermediate,Ahmad Hakim
121,Cara Mudah Buat Toko Online Sendiri dengan Wordpress,publish,beginner,Toni Haryanto
122,"Membangun Website Toko Online Menggunakan Laravel, Nuxt.js dan Payment Gateway",publish,beginner,Fika Ridaul Maulayya
123,"Membangun Aplikasi Point Of Sales Kasir dengan Laravel, Inertia.js & Vue.js",publish,beginner,Fika Ridaul Maulayya
124,Deploy Projek Machine Learning ke Cloud,publish,beginner,Nur Indah Pratiwi
125,"Membangun Website Sekolah Dengan Laravel, Vue Js dan Bootstrap 5",publish,beginner,Fika Ridaul Maulayya
126,Membangun RESTful API dengan Laravel Studi Kasus Blog,publish,intermediate,Ahmad Hakim
127,Belajar Framework Laravel Studi Kasus Role Management,publish,intermediate,Ahmad Hakim
128,Menguasai Framework Laravel 9,publish,beginner,Aldi Zainafif
129,Memahami Cara Kerja Tim IT di Perusahaan yang Bekerja dari Rumah,publish,intermediate,Muhammad Singgih Z.A
130,"Membangun Aplikasi Ujian Online (CBT) Dengan Laravel, Inertia.js & Vue.js",publish,beginner,Fika Ridaul Maulayya
131,Membuat Aplikasi Android Manajemen Tugas - Kotlin,publish,beginner,Aulia Rahman
132,Belajar Dasar HTML,publish,beginner,Ahmad Hakim
133,Membuat Realtime Chatroom dengan Websocket Menggunakan Laravel dan Vue,publish,beginner,Ahmad Hakim
134,Jago React Native dengan Membuat Movie App,publish,beginner,Hakim Sembiring Meliala
135,Jago Fullstack JavaScript dengan Membuat Blog,publish,beginner,Hakim Sembiring Meliala
136,Membuat Aplikasi Quiz dengan RecyclerView - Kotlin,publish,intermediate,Aulia Rahman
137,Belajar JavaScript,publish,beginner,Ahmad Hakim
138,1 Jam Bisa Membuat Game dengan Construct 3,publish,beginner,Ahmad Hakim
139,Sistem Otentikasi API Berbasis OAuth dengan Laravel Passport,publish,intermediate,Ahmad Hakim
140,Membuat Aplikasi Music Player di Android - Kotlin,publish,intermediate,Aulia Rahman
141,Membuat Chat bot Pintar di Telegram : Studi kasus Bot Info Covid-19,publish,intermediate,Ahmad Hakim
142,Belajar Membangun RESTful dengan Adonis.js,publish,beginner,Ahmad Hakim
143,Optimasi Kinerja Laravel dengan Redis,publish,beginner,Ahmad Hakim
144,"Membangun Toko Online Dengan Laravel, Vue Js dan Payment Gateway",publish,beginner,Fika Ridaul Maulayya
145,Implementasi Firebase Auth di Android - Kotlin,publish,beginner,Aulia Rahman
146,Membuat Website Profile Perusahaan Tanpa Coding dengan Mobirise,publish,beginner,Yusuf Fazeri
147,Belajar Dasar CSS,publish,beginner,0
148,Membangun Aplikasi Cek Ongkir Menggunakan Laravel,publish,intermediate,Ahmad Hakim
149,Belajar Vue.js 3 dan Firebase Studi Kasus Blog,publish,beginner,Ahmad Hakim
150,Panduan Awal Menjadi Fullstack Web Developer,publish,beginner,Sandhika Galih
151,Studi Kasus Web Geolocation dengan Laravel dan HERE Maps,publish,beginner,Ahmad Hakim
152,Membangun Website Toko Online Berbasis CodeIgniter,publish,beginner,Ahmad Hakim
153,Belajar Cepat Membuat Web App Berbasis React ,publish,beginner,Bagus Budi Cahyono
154,Belajar Pemrograman PHP,publish,beginner,Toni Haryanto
155,Menguasai Framework CodeIgniter 3,publish,beginner,Toni Haryanto
156,Membuat Toko Online dengan Laravel LiveWire dan Payment Gateway,publish,intermediate,Ahmad Hakim
157,Membuat Sistem Informasi Perpustakaan Menggunakan Laravel 6,publish,beginner,Muhammad Amirul Ihsan
158,Membangun Website Modern dengan Vue.js 2,publish,beginner,Ahmad Hakim
159,Membuat Aplikasi Presensi Android Berbasis Lokasi - Kotlin,publish,beginner,Aulia Rahman
160,Menguasai Framework Laravel 8,publish,beginner,Ahmad Hakim
161,Membuat Aplikasi E-learning di Android menggunakan Realtime Firebase - Kotlin,publish,intermediate,Aulia Rahman
162,"Fullstack Tutorial MongoDB, Express, Vue, Node - Shopping Cart",publish,beginner,Ahmad Hakim
163,Membuat REST API dengan Express.js dan MySQL - Studi Kasus Classified Ads,publish,beginner,Ahmad Hakim
164,Pengenalan Machine Learning,publish,beginner,Nur Indah Pratiwi
165,Aplikasi Pemasaran Produk Android OLX Clone - Kotlin,publish,intermediate,Aulia Rahman
166,Dasar-dasar Framework Laravel 6,publish,intermediate,Muhammad Amirul Ihsan
